Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
08175 Puig-reig;Viviendas con cosumo entre 5.001 y 6.000 kwh;48
08175 Puig-reig;Viviendas con cosumo entre 6.001 y 7.000 kwh;29
08175 Puig-reig;Viviendas con cosumo entre 7.001 y 8.000 kwh;19
08175 Puig-reig;Viviendas con cosumo entre 8.001 y 9.000 kwh;14
08175 Puig-reig;Viviendas con cosumo entre 9.001 y 10.000 kwh;8
08175 Puig-reig;Viviendas con consumo mayor de 10.000 kwh;30
08180 Ripollet;Viviendas totales;15.427
08180 Ripollet;Viviendas vacías;811
08180 Ripollet;Mediana consumo anual;2.309
08180 Ripollet;Viviendas con bajo consumo;213
08180 Ripollet;Viviendas de uso esporádico;745
08180 Ripollet;Viviendas de uso esporádico (entre 251 y 500 kwh);303
08180 Ripollet;Viviendas de uso esporádico (entre 501 y 750 kwh);442
08180 Ripollet;Viviendas con cosumo entre 751 y 1.000 kwh;638
08180 Ripollet;Viviendas con cosumo entre 1.001 y 2.000 kwh;4.408
08180 Ripollet;Viviendas con cosumo entre 2.001 y 3.000 kwh;4.126
08180 Ripollet;Viviendas con cosumo entre 3.001 y 4.000 kwh;2.369
08180 Ripollet;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.073
08180 Ripollet;Viviendas con cosumo entre 5.001 y 6.000 kwh;457
08180 Ripollet;Viviendas con cosumo entre 6.001 y 7.000 kwh;219
08180 Ripollet;Viviendas con cosumo entre 7.001 y 8.000 kwh;127
08180 Ripollet;Viviendas con cosumo entre 8.001 y 9.000 kwh;70
08180 Ripollet;Viviendas con cosumo entre 9.001 y 10.000 kwh;49
08180 Ripollet;Viviendas con consumo mayor de 10.000 kwh;122
08181 Roca del Vallès (La);Viviendas totales;4.515
08181 Roca del Vallès (La);Viviendas vacías;239
08181 Roca del Vallès (La);Mediana consumo anual;2.845
08181 Roca del Vallès (La);Viviendas con bajo consumo;75
08181 Roca del Vallès (La);Viviendas de uso esporádico;186
08181 Roca del Vallès (La);Viviendas de uso esporádico (entre 251 y 500 kwh);85
08181 Roca del Vallès (La);Viviendas de uso esporádico (entre 501 y 750 kwh);101
08181 Roca del Vallès (La);Viviendas con cosumo entre 751 y 1.000 kwh;164
08181 Roca del Vallès (La);Viviendas con cosumo entre 1.001 y 2.000 kwh;915
08181 Roca del Vallès (La);Viviendas con cosumo entre 2.001 y 3.000 kwh;986
08181 Roca del Vallès (La);Viviendas con cosumo entre 3.001 y 4.000 kwh;741
08181 Roca del Vallès (La);Viviendas con cosumo entre 4.001 y 5.000 kwh;378
08181 Roca del Vallès (La);Viviendas con cosumo entre 5.001 y 6.000 kwh;287
08181 Roca del Vallès (La);Viviendas con cosumo entre 6.001 y 7.000 kwh;153
08181 Roca del Vallès (La);Viviendas con cosumo entre 7.001 y 8.000 kwh;111
08181 Roca del Vallès (La);Viviendas con cosumo entre 8.001 y 9.000 kwh;86
08181 Roca del Vallès (La);Viviendas con cosumo entre 9.001 y 10.000 kwh;57
08181 Roca del Vallès (La);Viviendas con consumo mayor de 10.000 kwh;137
08182 Pont de Vilomara i Rocafort (El);Viviendas totales;1.951
08182 Pont de Vilomara i Rocafort (El);Viviendas vacías;216
08182 Pont de Vilomara i Rocafort (El);Mediana consumo anual;2.410
08182 Pont de Vilomara i Rocafort (El);Viviendas con bajo consumo;57
08182 Pont de Vilomara i Rocafort (El);Viviendas de uso esporádico;121
08182 Pont de Vilomara i Rocafort (El);Viviendas de uso esporádico (entre 251 y 500 kwh);57
08182 Pont de Vilomara i Rocafort (El);Viviendas de uso esporádico (entre 501 y 750 kwh);64
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 751 y 1.000 kwh;80
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 1.001 y 2.000 kwh;459
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 2.001 y 3.000 kwh;382
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 3.001 y 4.000 kwh;280
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 4.001 y 5.000 kwh;143
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 5.001 y 6.000 kwh;97
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 6.001 y 7.000 kwh;43
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 7.001 y 8.000 kwh;21
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 8.001 y 9.000 kwh;12
08182 Pont de Vilomara i Rocafort (El);Viviendas con cosumo entre 9.001 y 10.000 kwh;13
08182 Pont de Vilomara i Rocafort (El);Viviendas con consumo mayor de 10.000 kwh;27
08183 Roda de Ter;Viviendas totales;2.819
08183 Roda de Ter;Viviendas vacías;368
08183 Roda de Ter;Mediana consumo anual;2.525
08183 Roda de Ter;Viviendas con bajo consumo;56
08183 Roda de Ter;Viviendas de uso esporádico;166
08183 Roda de Ter;Viviendas de uso esporádico (entre 251 y 500 kwh);82
08183 Roda de Ter;Viviendas de uso esporádico (entre 501 y 750 kwh);84
08183 Roda de Ter;Viviendas con cosumo entre 751 y 1.000 kwh;103
08183 Roda de Ter;Viviendas con cosumo entre 1.001 y 2.000 kwh;588
08183 Roda de Ter;Viviendas con cosumo entre 2.001 y 3.000 kwh;619
08183 Roda de Ter;Viviendas con cosumo entre 3.001 y 4.000 kwh;448
08183 Roda de Ter;Viviendas con cosumo entre 4.001 y 5.000 kwh;210
08183 Roda de Ter;Viviendas con cosumo entre 5.001 y 6.000 kwh;104
08183 Roda de Ter;Viviendas con cosumo entre 6.001 y 7.000 kwh;61
08183 Roda de Ter;Viviendas con cosumo entre 7.001 y 8.000 kwh;30
08183 Roda de Ter;Viviendas con cosumo entre 8.001 y 9.000 kwh;15
08183 Roda de Ter;Viviendas con cosumo entre 9.001 y 10.000 kwh;12
08183 Roda de Ter;Viviendas con consumo mayor de 10.000 kwh;39
08184 Rubí;Viviendas totales;32.476
08184 Rubí;Viviendas vacías;2.104
08184 Rubí;Mediana consumo anual;2.463
08184 Rubí;Viviendas con bajo consumo;472
08184 Rubí;Viviendas de uso esporádico;1.597
08184 Rubí;Viviendas de uso esporádico (entre 251 y 500 kwh);733
08184 Rubí;Viviendas de uso esporádico (entre 501 y 750 kwh);864
08184 Rubí;Viviendas con cosumo entre 751 y 1.000 kwh;1.256
08184 Rubí;Viviendas con cosumo entre 1.001 y 2.000 kwh;7.992
08184 Rubí;Viviendas con cosumo entre 2.001 y 3.000 kwh;7.938
08184 Rubí;Viviendas con cosumo entre 3.001 y 4.000 kwh;4.827
08184 Rubí;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.609
08184 Rubí;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.364
08184 Rubí;Viviendas con cosumo entre 6.001 y 7.000 kwh;804
08184 Rubí;Viviendas con cosumo entre 7.001 y 8.000 kwh;516
08184 Rubí;Viviendas con cosumo entre 8.001 y 9.000 kwh;305
08184 Rubí;Viviendas con cosumo entre 9.001 y 10.000 kwh;195
08184 Rubí;Viviendas con consumo mayor de 10.000 kwh;497
08187 Sabadell;Viviendas totales;92.772
08187 Sabadell;Viviendas vacías;5.614
08187 Sabadell;Mediana consumo anual;2.275
08187 Sabadell;Viviendas con bajo consumo;1.604
08187 Sabadell;Viviendas de uso esporádico;5.082
08187 Sabadell;Viviendas de uso esporádico (entre 251 y 500 kwh);2.225
08187 Sabadell;Viviendas de uso esporádico (entre 501 y 750 kwh);2.857
08187 Sabadell;Viviendas con cosumo entre 751 y 1.000 kwh;4.192
08187 Sabadell;Viviendas con cosumo entre 1.001 y 2.000 kwh;26.078
08187 Sabadell;Viviendas con cosumo entre 2.001 y 3.000 kwh;24.063
08187 Sabadell;Viviendas con cosumo entre 3.001 y 4.000 kwh;13.202
08187 Sabadell;Viviendas con cosumo entre 4.001 y 5.000 kwh;6.075
08187 Sabadell;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.805
08187 Sabadell;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.497
08187 Sabadell;Viviendas con cosumo entre 7.001 y 8.000 kwh;838
08187 Sabadell;Viviendas con cosumo entre 8.001 y 9.000 kwh;486
08187 Sabadell;Viviendas con cosumo entre 9.001 y 10.000 kwh;322
08187 Sabadell;Viviendas con consumo mayor de 10.000 kwh;914
08191 Sallent;Viviendas totales;3.473
08191 Sallent;Viviendas vacías;402
08191 Sallent;Mediana consumo anual;2.308
08191 Sallent;Viviendas con bajo consumo;92
08191 Sallent;Viviendas de uso esporádico;237
08191 Sallent;Viviendas de uso esporádico (entre 251 y 500 kwh);101
08191 Sallent;Viviendas de uso esporádico (entre 501 y 750 kwh);136
08191 Sallent;Viviendas con cosumo entre 751 y 1.000 kwh;159
08191 Sallent;Viviendas con cosumo entre 1.001 y 2.000 kwh;829
08191 Sallent;Viviendas con cosumo entre 2.001 y 3.000 kwh;735
08191 Sallent;Viviendas con cosumo entre 3.001 y 4.000 kwh;471
08191 Sallent;Viviendas con cosumo entre 4.001 y 5.000 kwh;219
08191 Sallent;Viviendas con cosumo entre 5.001 y 6.000 kwh;102
08191 Sallent;Viviendas con cosumo entre 6.001 y 7.000 kwh;65
08191 Sallent;Viviendas con cosumo entre 7.001 y 8.000 kwh;40
08191 Sallent;Viviendas con cosumo entre 8.001 y 9.000 kwh;34
08191 Sallent;Viviendas con cosumo entre 9.001 y 10.000 kwh;20
08191 Sallent;Viviendas con consumo mayor de 10.000 kwh;68
08192 Santpedor;Viviendas totales;3.282
08192 Santpedor;Viviendas vacías;258
08192 Santpedor;Mediana consumo anual;2.749
08192 Santpedor;Viviendas con bajo consumo;44
08192 Santpedor;Viviendas de uso esporádico;146
08192 Santpedor;Viviendas de uso esporádico (entre 251 y 500 kwh);63
08192 Santpedor;Viviendas de uso esporádico (entre 501 y 750 kwh);83
08192 Santpedor;Viviendas con cosumo entre 751 y 1.000 kwh;97
08192 Santpedor;Viviendas con cosumo entre 1.001 y 2.000 kwh;678
08192 Santpedor;Viviendas con cosumo entre 2.001 y 3.000 kwh;773
08192 Santpedor;Viviendas con cosumo entre 3.001 y 4.000 kwh;572
08192 Santpedor;Viviendas con cosumo entre 4.001 y 5.000 kwh;283
08192 Santpedor;Viviendas con cosumo entre 5.001 y 6.000 kwh;149
08192 Santpedor;Viviendas con cosumo entre 6.001 y 7.000 kwh;78
08192 Santpedor;Viviendas con cosumo entre 7.001 y 8.000 kwh;68
08192 Santpedor;Viviendas con cosumo entre 8.001 y 9.000 kwh;34
08192 Santpedor;Viviendas con cosumo entre 9.001 y 10.000 kwh;27
08192 Santpedor;Viviendas con consumo mayor de 10.000 kwh;75
08193 Sant Iscle de Vallalta;Viviendas totales;763
08193 Sant Iscle de Vallalta;Viviendas vacías;87
08193 Sant Iscle de Vallalta;Mediana consumo anual;2.752
08193 Sant Iscle de Vallalta;Viviendas con bajo consumo;17
08193 Sant Iscle de Vallalta;Viviendas de uso esporádico;59
08193 Sant Iscle de Vallalta;Viviendas de uso esporádico (entre 251 y 500 kwh);28
08193 Sant Iscle de Vallalta;Viviendas de uso esporádico (entre 501 y 750 kwh);31
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 751 y 1.000 kwh;41
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 1.001 y 2.000 kwh;118
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 2.001 y 3.000 kwh;129
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 3.001 y 4.000 kwh;99
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 4.001 y 5.000 kwh;63
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 5.001 y 6.000 kwh;41
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 6.001 y 7.000 kwh;40
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 7.001 y 8.000 kwh;19
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 8.001 y 9.000 kwh;19
08193 Sant Iscle de Vallalta;Viviendas con cosumo entre 9.001 y 10.000 kwh;12
08193 Sant Iscle de Vallalta;Viviendas con consumo mayor de 10.000 kwh;19
08194 Sant Adrià de Besòs *;Viviendas totales;14.877
08194 Sant Adrià de Besòs *;Viviendas vacías;1.262
08194 Sant Adrià de Besòs *;Mediana consumo anual;2.088
08194 Sant Adrià de Besòs *;Viviendas con bajo consumo;301
08194 Sant Adrià de Besòs *;Viviendas de uso esporádico;1.003
08194 Sant Adrià de Besòs *;Viviendas de uso esporádico (entre 251 y 500 kwh);404
08194 Sant Adrià de Besòs *;Viviendas de uso esporádico (entre 501 y 750 kwh);599
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 751 y 1.000 kwh;775
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 1.001 y 2.000 kwh;4.525
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 2.001 y 3.000 kwh;3.529
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.780
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 4.001 y 5.000 kwh;778
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 5.001 y 6.000 kwh;346
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 6.001 y 7.000 kwh;198
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 7.001 y 8.000 kwh;117
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 8.001 y 9.000 kwh;64
08194 Sant Adrià de Besòs *;Viviendas con cosumo entre 9.001 y 10.000 kwh;51
08194 Sant Adrià de Besòs *;Viviendas con consumo mayor de 10.000 kwh;148
08196 Sant Andreu de la Barca;Viviendas totales;10.536
08196 Sant Andreu de la Barca;Viviendas vacías;418
08196 Sant Andreu de la Barca;Mediana consumo anual;2.424
08196 Sant Andreu de la Barca;Viviendas con bajo consumo;100
08196 Sant Andreu de la Barca;Viviendas de uso esporádico;402
08196 Sant Andreu de la Barca;Viviendas de uso esporádico (entre 251 y 500 kwh);172
08196 Sant Andreu de la Barca;Viviendas de uso esporádico (entre 501 y 750 kwh);230
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 751 y 1.000 kwh;415
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.829
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 2.001 y 3.000 kwh;3.009
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.777
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 4.001 y 5.000 kwh;790
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 5.001 y 6.000 kwh;365
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 6.001 y 7.000 kwh;163
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 7.001 y 8.000 kwh;104
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 8.001 y 9.000 kwh;37
08196 Sant Andreu de la Barca;Viviendas con cosumo entre 9.001 y 10.000 kwh;35
08196 Sant Andreu de la Barca;Viviendas con consumo mayor de 10.000 kwh;92
08197 Sant Andreu de Llavaneres;Viviendas totales;5.561
08197 Sant Andreu de Llavaneres;Viviendas vacías;528
08197 Sant Andreu de Llavaneres;Mediana consumo anual;2.557
08197 Sant Andreu de Llavaneres;Viviendas con bajo consumo;107
08197 Sant Andreu de Llavaneres;Viviendas de uso esporádico;411
08197 Sant Andreu de Llavaneres;Viviendas de uso esporádico (entre 251 y 500 kwh);178
08197 Sant Andreu de Llavaneres;Viviendas de uso esporádico (entre 501 y 750 kwh);233
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 751 y 1.000 kwh;268
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.142
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.089
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 3.001 y 4.000 kwh;732
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 4.001 y 5.000 kwh;403
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 5.001 y 6.000 kwh;260
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 6.001 y 7.000 kwh;162
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 7.001 y 8.000 kwh;118
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 8.001 y 9.000 kwh;83
08197 Sant Andreu de Llavaneres;Viviendas con cosumo entre 9.001 y 10.000 kwh;60
08197 Sant Andreu de Llavaneres;Viviendas con consumo mayor de 10.000 kwh;198
08198 Sant Antoni de Vilamajor;Viviendas totales;2.996
08198 Sant Antoni de Vilamajor;Viviendas vacías;254
08198 Sant Antoni de Vilamajor;Mediana consumo anual;3.153
08198 Sant Antoni de Vilamajor;Viviendas con bajo consumo;40
08198 Sant Antoni de Vilamajor;Viviendas de uso esporádico;150
08198 Sant Antoni de Vilamajor;Viviendas de uso esporádico (entre 251 y 500 kwh);71
08198 Sant Antoni de Vilamajor;Viviendas de uso esporádico (entre 501 y 750 kwh);79
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 751 y 1.000 kwh;87
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 1.001 y 2.000 kwh;493
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 2.001 y 3.000 kwh;550
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 3.001 y 4.000 kwh;430
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 4.001 y 5.000 kwh;309
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 5.001 y 6.000 kwh;219
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 6.001 y 7.000 kwh;156
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 7.001 y 8.000 kwh;99
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 8.001 y 9.000 kwh;66
08198 Sant Antoni de Vilamajor;Viviendas con cosumo entre 9.001 y 10.000 kwh;34
08198 Sant Antoni de Vilamajor;Viviendas con consumo mayor de 10.000 kwh;109
08200 Sant Boi de Llobregat;Viviendas totales;33.904
08200 Sant Boi de Llobregat;Viviendas vacías;1.497
08200 Sant Boi de Llobregat;Mediana consumo anual;2.280
08200 Sant Boi de Llobregat;Viviendas con bajo consumo;484
08200 Sant Boi de Llobregat;Viviendas de uso esporádico;1.717
08200 Sant Boi de Llobregat;Viviendas de uso esporádico (entre 251 y 500 kwh);687
08200 Sant Boi de Llobregat;Viviendas de uso esporádico (entre 501 y 750 kwh);1.030
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 751 y 1.000 kwh;1.519
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 1.001 y 2.000 kwh;9.873
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 2.001 y 3.000 kwh;9.048
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 3.001 y 4.000 kwh;5.089
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.274
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.042
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 6.001 y 7.000 kwh;529
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 7.001 y 8.000 kwh;266
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 8.001 y 9.000 kwh;148
08200 Sant Boi de Llobregat;Viviendas con cosumo entre 9.001 y 10.000 kwh;111
08200 Sant Boi de Llobregat;Viviendas con consumo mayor de 10.000 kwh;307
08202 Sant Celoni;Viviendas totales;7.946
08202 Sant Celoni;Viviendas vacías;446
08202 Sant Celoni;Mediana consumo anual;2.419
08202 Sant Celoni;Viviendas con bajo consumo;162
08202 Sant Celoni;Viviendas de uso esporádico;468
08202 Sant Celoni;Viviendas de uso esporádico (entre 251 y 500 kwh);208
08202 Sant Celoni;Viviendas de uso esporádico (entre 501 y 750 kwh);260
08202 Sant Celoni;Viviendas con cosumo entre 751 y 1.000 kwh;342
08202 Sant Celoni;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.999
08202 Sant Celoni;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.853
08202 Sant Celoni;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.165
08202 Sant Celoni;Viviendas con cosumo entre 4.001 y 5.000 kwh;638
08202 Sant Celoni;Viviendas con cosumo entre 5.001 y 6.000 kwh;326
08202 Sant Celoni;Viviendas con cosumo entre 6.001 y 7.000 kwh;169
08202 Sant Celoni;Viviendas con cosumo entre 7.001 y 8.000 kwh;107
08202 Sant Celoni;Viviendas con cosumo entre 8.001 y 9.000 kwh;89
08202 Sant Celoni;Viviendas con cosumo entre 9.001 y 10.000 kwh;53
08202 Sant Celoni;Viviendas con consumo mayor de 10.000 kwh;129
08203 Sant Cebrià de Vallalta;Viviendas totales;2.166
08203 Sant Cebrià de Vallalta;Viviendas vacías;261
08203 Sant Cebrià de Vallalta;Mediana consumo anual;2.462
08203 Sant Cebrià de Vallalta;Viviendas con bajo consumo;52
08203 Sant Cebrià de Vallalta;Viviendas de uso esporádico;201
08203 Sant Cebrià de Vallalta;Viviendas de uso esporádico (entre 251 y 500 kwh);90
08203 Sant Cebrià de Vallalta;Viviendas de uso esporádico (entre 501 y 750 kwh);111
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 751 y 1.000 kwh;101
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 1.001 y 2.000 kwh;422
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 2.001 y 3.000 kwh;395
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 3.001 y 4.000 kwh;248
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 4.001 y 5.000 kwh;164
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 5.001 y 6.000 kwh;109
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 6.001 y 7.000 kwh;61
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 7.001 y 8.000 kwh;56
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 8.001 y 9.000 kwh;18
08203 Sant Cebrià de Vallalta;Viviendas con cosumo entre 9.001 y 10.000 kwh;16
08203 Sant Cebrià de Vallalta;Viviendas con consumo mayor de 10.000 kwh;62
08204 Sant Climent de Llobregat;Viviendas totales;1.626
08204 Sant Climent de Llobregat;Viviendas vacías;97
08204 Sant Climent de Llobregat;Mediana consumo anual;3.243
08204 Sant Climent de Llobregat;Viviendas con bajo consumo;24
08204 Sant Climent de Llobregat;Viviendas de uso esporádico;72
08204 Sant Climent de Llobregat;Viviendas de uso esporádico (entre 251 y 500 kwh);49
08204 Sant Climent de Llobregat;Viviendas de uso esporádico (entre 501 y 750 kwh);23
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 751 y 1.000 kwh;59
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 1.001 y 2.000 kwh;229
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 2.001 y 3.000 kwh;316
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 3.001 y 4.000 kwh;305
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 4.001 y 5.000 kwh;218
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 5.001 y 6.000 kwh;136
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 6.001 y 7.000 kwh;62
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 7.001 y 8.000 kwh;39
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 8.001 y 9.000 kwh;25
08204 Sant Climent de Llobregat;Viviendas con cosumo entre 9.001 y 10.000 kwh;11
08204 Sant Climent de Llobregat;Viviendas con consumo mayor de 10.000 kwh;33
08205 Sant Cugat del Vallès;Viviendas totales;35.770
08205 Sant Cugat del Vallès;Viviendas vacías;2.404
08205 Sant Cugat del Vallès;Mediana consumo anual;2.776
08205 Sant Cugat del Vallès;Viviendas con bajo consumo;377
08205 Sant Cugat del Vallès;Viviendas de uso esporádico;1.377
08205 Sant Cugat del Vallès;Viviendas de uso esporádico (entre 251 y 500 kwh);616
08205 Sant Cugat del Vallès;Viviendas de uso esporádico (entre 501 y 750 kwh);761
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 751 y 1.000 kwh;1.135
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 1.001 y 2.000 kwh;7.520
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 2.001 y 3.000 kwh;8.121
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 3.001 y 4.000 kwh;5.549
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 4.001 y 5.000 kwh;3.137
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.910
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.173
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 7.001 y 8.000 kwh;856
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 8.001 y 9.000 kwh;536
08205 Sant Cugat del Vallès;Viviendas con cosumo entre 9.001 y 10.000 kwh;438
08205 Sant Cugat del Vallès;Viviendas con consumo mayor de 10.000 kwh;1.237
08206 Sant Cugat Sesgarrigues;Viviendas totales;421
08206 Sant Cugat Sesgarrigues;Viviendas vacías;77
08206 Sant Cugat Sesgarrigues;Mediana consumo anual;3.444
08206 Sant Cugat Sesgarrigues;Viviendas con bajo consumo;2
08206 Sant Cugat Sesgarrigues;Viviendas de uso esporádico;19
08206 Sant Cugat Sesgarrigues;Viviendas de uso esporádico (entre 251 y 500 kwh);11
08206 Sant Cugat Sesgarrigues;Viviendas de uso esporádico (entre 501 y 750 kwh);8
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 751 y 1.000 kwh;8
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 1.001 y 2.000 kwh;52
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 2.001 y 3.000 kwh;73
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 3.001 y 4.000 kwh;52
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 4.001 y 5.000 kwh;38
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 5.001 y 6.000 kwh;36
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 6.001 y 7.000 kwh;25
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 7.001 y 8.000 kwh;15
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 8.001 y 9.000 kwh;10
08206 Sant Cugat Sesgarrigues;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
08206 Sant Cugat Sesgarrigues;Viviendas con consumo mayor de 10.000 kwh;11
08207 Sant Esteve de Palautordera *;Viviendas totales;1.276
08207 Sant Esteve de Palautordera *;Viviendas vacías;49
08207 Sant Esteve de Palautordera *;Mediana consumo anual;2.795
08207 Sant Esteve de Palautordera *;Viviendas con bajo consumo;21
08207 Sant Esteve de Palautordera *;Viviendas de uso esporádico;84
08207 Sant Esteve de Palautordera *;Viviendas de uso esporádico (entre 251 y 500 kwh);38
08207 Sant Esteve de Palautordera *;Viviendas de uso esporádico (entre 501 y 750 kwh);46
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 751 y 1.000 kwh;62
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 1.001 y 2.000 kwh;235
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 2.001 y 3.000 kwh;270
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 3.001 y 4.000 kwh;180
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 4.001 y 5.000 kwh;126
