Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
04011 Alhama de Almería;Viviendas con cosumo entre 751 y 1.000 kwh;112
04011 Alhama de Almería;Viviendas con cosumo entre 1.001 y 2.000 kwh;389
04011 Alhama de Almería;Viviendas con cosumo entre 2.001 y 3.000 kwh;393
04011 Alhama de Almería;Viviendas con cosumo entre 3.001 y 4.000 kwh;278
04011 Alhama de Almería;Viviendas con cosumo entre 4.001 y 5.000 kwh;161
04011 Alhama de Almería;Viviendas con cosumo entre 5.001 y 6.000 kwh;80
04011 Alhama de Almería;Viviendas con cosumo entre 6.001 y 7.000 kwh;48
04011 Alhama de Almería;Viviendas con cosumo entre 7.001 y 8.000 kwh;20
04011 Alhama de Almería;Viviendas con cosumo entre 8.001 y 9.000 kwh;12
04011 Alhama de Almería;Viviendas con cosumo entre 9.001 y 10.000 kwh;5
04011 Alhama de Almería;Viviendas con consumo mayor de 10.000 kwh;16
04013 Almería;Viviendas totales;100.957
04013 Almería;Viviendas vacías;9.965
04013 Almería;Mediana consumo anual;2.490
04013 Almería;Viviendas con bajo consumo;2.516
04013 Almería;Viviendas de uso esporádico;7.963
04013 Almería;Viviendas de uso esporádico (entre 251 y 500 kwh);3.858
04013 Almería;Viviendas de uso esporádico (entre 501 y 750 kwh);4.105
04013 Almería;Viviendas con cosumo entre 751 y 1.000 kwh;4.446
04013 Almería;Viviendas con cosumo entre 1.001 y 2.000 kwh;21.160
04013 Almería;Viviendas con cosumo entre 2.001 y 3.000 kwh;20.902
04013 Almería;Viviendas con cosumo entre 3.001 y 4.000 kwh;15.415
04013 Almería;Viviendas con cosumo entre 4.001 y 5.000 kwh;8.777
04013 Almería;Viviendas con cosumo entre 5.001 y 6.000 kwh;4.610
04013 Almería;Viviendas con cosumo entre 6.001 y 7.000 kwh;2.228
04013 Almería;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.093
04013 Almería;Viviendas con cosumo entre 8.001 y 9.000 kwh;592
04013 Almería;Viviendas con cosumo entre 9.001 y 10.000 kwh;362
04013 Almería;Viviendas con consumo mayor de 10.000 kwh;928
04016 Antas;Viviendas totales;1.958
04016 Antas;Viviendas vacías;276
04016 Antas;Mediana consumo anual;2.542
04016 Antas;Viviendas con bajo consumo;68
04016 Antas;Viviendas de uso esporádico;201
04016 Antas;Viviendas de uso esporádico (entre 251 y 500 kwh);101
04016 Antas;Viviendas de uso esporádico (entre 501 y 750 kwh);100
04016 Antas;Viviendas con cosumo entre 751 y 1.000 kwh;96
04016 Antas;Viviendas con cosumo entre 1.001 y 2.000 kwh;339
04016 Antas;Viviendas con cosumo entre 2.001 y 3.000 kwh;296
04016 Antas;Viviendas con cosumo entre 3.001 y 4.000 kwh;237
